id id2 K
19900000154 19900000154 1
19900000154 19919980120 0
19900000154 12520100024 0
19900000154 12520010469 0
19900000154 12619999108 0
19900000154 12520010496 0
19900000154 12520090129 0
19900000154 12520090138 0
19900000154 12520158887 0
19900000154 12520179088 0
19900000154 12520090156 0
19900000154 12520110029 0
19900000154 12520080108 0
19900000154 12520100180 0
19900000154 12520080117 0
19900000154 12519999697 0
19900000154 12520177552 0
19900000154 12520177757 0
19900000154 12520080066 0
19900000154 12520100144 0
19900000154 12520178937 0
19900000154 12520080039 0
19900000154 12520100117 0
19900000154 12619991357 0
19900000154 12520090078 0
19900000154 12619971208 0
19900000154 19900000043 0
19900000154 12520080012 0
19900000154 12520080003 0
19900000154 12520179319 0
19900000154 19919970091 0
19900000154 10219990833 0
19900000154 12520090090 0
19900000154 12520130167 0
19900000154 12520175015 0
19900000154 12520178010 0
19900000154 12520178844 0
19900000154 12520090099 0
19900000154 19900000119 0
19900000154 12520178028 0
19900000154 19900000155 0
19900000154 12520080114 0
19900000154 12619999961 0
19900000154 12520175310 0
19900000154 12520179222 0
19900000154 12520100079 0
19900000154 12520176198 0
19900000154 12520100097 0
19900000154 12520080127 0
19900000154 19900000124 0
19900000154 12520179051 0
19900000154 12520155383 0
19900000154 12520100125 0
19900000154 12520175871 0
19900000154 12520179858 0
19900000154 12520176562 0
19900000154 19900000084 0
19900000154 12520090028 0
19900000154 12520100103 0
19900000154 12520178489 0
19900000154 12520090091 0
19900000154 12520100130 0
19900000154 12520080043 0
19900000154 12520080052 0
19900000154 12520110061 0
19900000154 19919960105 0
19900000154 12520080122 0
19900000154 19900000156 0
19900000154 12619999491 0
19900000154 12520178065 0
19900000154 12520178200 0
19900000154 12520175650 0
19900000154 12619993190 0
19900000154 12520177536 0
19900000154 12520100133 0
19900000154 12519966916 0
19900000154 12619993557 0
19900000154 12520090124 0
19900000154 12520175932 0
19900000154 12520110154 0
19900000154 12520178803 0
19900000154 12619990052 0
19900000154 12520090058 0
19900000154 12520090151 0
19900000154 12520175047 0
19900000154 12520090022 0
19900000154 12520177116 0
19900000154 12520177648 0
19900000154 12520080017 0
19900000154 12520177797 0
19900000154 12520175022 0
19900000154 12619999515 0
19900000154 12520090178 0
19900000154 12520178923 0
19900000154 12520100149 0
19900000154 12520090169 0
19900000154 12520051324 0
19900000154 12619971285 0
19900000154 12520120184 0
19900000154 12520100185 0
19900000154 12619995223 0
19900000154 12520100064 0
19900000154 12520110014 0
19900000154 12520010491 0
19900000154 12520090115 0
19900000154 12520010473 0
19900000154 12520110032 0
